timestamp,session_id,event,detail,version,answered_count,completed,time_spent
08:54.5,d9d8da38c1bb6c1e6dc31289a3e8e050,quiz_submitted,submit_clicked,A,0,FALSE,1
08:59.0,e00d28062ef24155542d9e49abe29147,quiz_submitted,submit_clicked,B,20,TRUE,27
09:10.5,78142f03842fca09d4307138e2907065,quiz_submitted,submit_clicked,A,20,TRUE,30
09:15.2,78142f03842fca09d4307138e2907065,quiz_submitted,submit_clicked,A,20,TRUE,35
09:36.8,d9d8da38c1bb6c1e6dc31289a3e8e050,quiz_submitted,submit_clicked,A,20,TRUE,43
09:41.2,d9d8da38c1bb6c1e6dc31289a3e8e050,quiz_submitted,submit_clicked,A,20,TRUE,47
34:12.4,85947b1169e7de8ace93fba261bd953e,quiz_submitted,submit_clicked,A,20,TRUE,85
34:25.2,bc7e6e0571fbf4dad5335ec9b006e9de,quiz_submitted,submit_clicked,B,0,FALSE,0
34:56.1,5bcbba0b2a149cc6794c6eb4afb07e6b,quiz_submitted,submit_clicked,B,0,FALSE,0
35:39.8,5bcbba0b2a149cc6794c6eb4afb07e6b,quiz_submitted,submit_clicked,B,20,TRUE,44
35:50.3,3deaec9440f80555263fe8f4bc191b43,quiz_submitted,submit_clicked,A,0,FALSE,0
19:20.0,2cec3f7132e3f5cefd8808bb5502a71d,quiz_submitted,submit_clicked,A,0,FALSE,1
28:44.1,4f585c5e5f50133aa50cf018affa9d98,quiz_submitted,submit_clicked,B,20,TRUE,52
40:25.6,d9614d6a084982e60a7e01c2df6b5943,quiz_submitted,submit_clicked,A,20,TRUE,51
44:57.4,26240dc2edcdaa3fc03676b102e8353e,quiz_submitted,submit_clicked,A,20,TRUE,171
52:20.8,ad3238b8547c2a59a360e0e7f6837e8d,quiz_submitted,submit_clicked,A,20,TRUE,24
52:26.2,ad3238b8547c2a59a360e0e7f6837e8d,quiz_submitted,submit_clicked,A,20,TRUE,29
52:32.8,ad3238b8547c2a59a360e0e7f6837e8d,quiz_submitted,submit_clicked,A,20,TRUE,36
